[2026-05-29 08:18:06] Experiment started.
[2026-05-29 08:18:06] Result folder: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\result_metrics_runtime_rankings_20260529_081806
[2026-05-29 08:18:06] Dataset: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\bankreshape.xlsx
[2026-05-29 08:18:06] Settings: pop=30, maxIter=100, runs=30, fitnessKFolds=5, metricKFolds=10, seedBase=20260529
[2026-05-29 08:18:06] Algorithms: QHDBO, IDBO, DBO, WOA, GWO, HHO, EVO, PO, NRBO, CPO, SWO, MSDBO
[2026-05-29 08:18:06] Algorithm 01/12 started: QHDBO
[2026-05-29 08:34:29] Algorithm 02/12 IDBO run 21/30 OK: ACC=77.5399, MCC=0.5547, Sensitivity=76.2895, Specificity=79.5534, optTime=26.39s, evalTime=0.01s, totalTime=26.40s
[2026-05-29 08:34:55] Algorithm 02/12 IDBO run 22/30 OK: ACC=76.6217, MCC=0.5369, Sensitivity=73.4787, Specificity=80.3392, optTime=26.23s, evalTime=0.01s, totalTime=26.24s
[2026-05-29 08:35:22] Algorithm 02/12 IDBO run 23/30 OK: ACC=82.7870, MCC=0.6592, Sensitivity=80.1799, Specificity=86.0353, optTime=26.59s, evalTime=0.01s, totalTime=26.60s
[2026-05-29 08:35:48] Algorithm 02/12 IDBO run 24/30 OK: ACC=83.7442, MCC=0.6847, Sensitivity=81.8092, Specificity=87.2995, optTime=26.37s, evalTime=0.01s, totalTime=26.39s
[2026-05-29 08:36:15] Algorithm 02/12 IDBO run 25/30 OK: ACC=68.6949, MCC=0.3834, Sensitivity=67.1617, Specificity=71.9906, optTime=26.21s, evalTime=0.01s, totalTime=26.22s
[2026-05-29 08:36:41] Algorithm 02/12 IDBO run 26/30 OK: ACC=74.5594, MCC=0.4994, Sensitivity=72.3140, Specificity=78.3766, optTime=26.72s, evalTime=0.01s, totalTime=26.73s
[2026-05-29 08:37:08] Algorithm 02/12 IDBO run 27/30 OK: ACC=80.0457, MCC=0.6022, Sensitivity=79.2381, Specificity=81.3485, optTime=26.53s, evalTime=0.02s, totalTime=26.55s
[2026-05-29 08:37:34] Algorithm 02/12 IDBO run 28/30 OK: ACC=74.5065, MCC=0.4986, Sensitivity=71.7748, Specificity=78.8287, optTime=26.35s, evalTime=0.01s, totalTime=26.36s
[2026-05-29 08:38:01] Algorithm 02/12 IDBO run 29/30 OK: ACC=73.7464, MCC=0.4789, Sensitivity=70.6425, Specificity=77.3783, optTime=27.11s, evalTime=0.01s, totalTime=27.12s
[2026-05-29 08:38:28] Algorithm 02/12 IDBO run 30/30 OK: ACC=76.7457, MCC=0.5456, Sensitivity=75.9577, Specificity=79.7480, optTime=26.59s, evalTime=0.01s, totalTime=26.60s
[2026-05-29 08:38:28] Algorithm 02/12 finished: IDBO. Checkpoint saved: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\result_metrics_runtime_rankings_20260529_081806\bankreshape_checkpoint.mat
[2026-05-29 08:38:28] Algorithm 03/12 started: DBO
[2026-05-29 08:38:41] Algorithm 03/12 DBO run 01/30 OK: ACC=78.3290, MCC=0.5728, Sensitivity=77.1441, Specificity=80.6793, optTime=13.35s, evalTime=0.01s, totalTime=13.36s
[2026-05-29 08:38:55] Algorithm 03/12 DBO run 02/30 OK: ACC=76.5899, MCC=0.5414, Sensitivity=74.3178, Specificity=80.4584, optTime=13.27s, evalTime=0.01s, totalTime=13.28s
[2026-05-29 08:39:08] Algorithm 03/12 DBO run 03/30 OK: ACC=71.5884, MCC=0.4393, Sensitivity=69.2473, Specificity=75.1927, optTime=13.18s, evalTime=0.01s, totalTime=13.19s
[2026-05-29 08:39:21] Algorithm 03/12 DBO run 04/30 OK: ACC=75.5746, MCC=0.5210, Sensitivity=74.2320, Specificity=78.6208, optTime=13.12s, evalTime=0.01s, totalTime=13.13s
[2026-05-29 08:39:34] Algorithm 03/12 DBO run 05/30 OK: ACC=74.6246, MCC=0.4945, Sensitivity=72.6631, Specificity=77.1172, optTime=13.26s, evalTime=0.01s, totalTime=13.27s
[2026-05-29 08:39:48] Algorithm 03/12 DBO run 06/30 OK: ACC=75.4703, MCC=0.5167, Sensitivity=73.6437, Specificity=78.8943, optTime=13.21s, evalTime=0.01s, totalTime=13.22s
[2026-05-29 08:40:02] Algorithm 03/12 DBO run 07/30 OK: ACC=76.5812, MCC=0.5335, Sensitivity=74.6340, Specificity=78.8525, optTime=14.85s, evalTime=0.01s, totalTime=14.87s
[2026-05-29 08:40:17] Algorithm 03/12 DBO run 08/30 OK: ACC=76.2203, MCC=0.5354, Sensitivity=74.0114, Specificity=80.3324, optTime=14.48s, evalTime=0.01s, totalTime=14.49s
[2026-05-29 08:40:31] Algorithm 03/12 DBO run 09/30 OK: ACC=74.9978, MCC=0.5109, Sensitivity=72.5460, Specificity=79.3039, optTime=13.58s, evalTime=0.01s, totalTime=13.59s
[2026-05-29 08:40:45] Algorithm 03/12 DBO run 10/30 OK: ACC=76.0080, MCC=0.5261, Sensitivity=74.2716, Specificity=78.7378, optTime=13.95s, evalTime=0.01s, totalTime=13.96s
[2026-05-29 08:40:59] Algorithm 03/12 DBO run 11/30 OK: ACC=77.0746, MCC=0.5517, Sensitivity=74.3925, Specificity=81.4336, optTime=14.13s, evalTime=0.01s, totalTime=14.14s
[2026-05-29 08:41:13] Algorithm 03/12 DBO run 12/30 OK: ACC=77.8746, MCC=0.5658, Sensitivity=75.6959, Specificity=81.3489, optTime=13.90s, evalTime=0.01s, totalTime=13.91s
[2026-05-29 08:41:27] Algorithm 03/12 DBO run 13/30 OK: ACC=75.8232, MCC=0.5244, Sensitivity=73.8611, Specificity=79.1520, optTime=14.03s, evalTime=0.01s, totalTime=14.04s
[2026-05-29 08:41:40] Algorithm 03/12 DBO run 14/30 OK: ACC=78.7022, MCC=0.5828, Sensitivity=76.9078, Specificity=82.2811, optTime=13.81s, evalTime=0.01s, totalTime=13.83s
[2026-05-29 08:41:54] Algorithm 03/12 DBO run 15/30 OK: ACC=75.7978, MCC=0.5244, Sensitivity=74.1160, Specificity=79.1501, optTime=13.85s, evalTime=0.01s, totalTime=13.86s
[2026-05-29 08:42:08] Algorithm 03/12 DBO run 16/30 OK: ACC=76.1312, MCC=0.5356, Sensitivity=74.3849, Specificity=80.0552, optTime=13.99s, evalTime=0.01s, totalTime=14.00s
[2026-05-29 08:42:22] Algorithm 03/12 DBO run 17/30 OK: ACC=79.1703, MCC=0.5869, Sensitivity=76.5633, Specificity=82.5127, optTime=13.83s, evalTime=0.01s, totalTime=13.84s
[2026-05-29 08:42:37] Algorithm 03/12 DBO run 18/30 OK: ACC=75.7616, MCC=0.5267, Sensitivity=75.1134, Specificity=78.8284, optTime=14.75s, evalTime=0.02s, totalTime=14.77s
[2026-05-29 08:43:00] Algorithm 03/12 DBO run 19/30 OK: ACC=72.8674, MCC=0.4620, Sensitivity=70.7040, Specificity=76.0740, optTime=22.76s, evalTime=0.01s, totalTime=22.78s
[2026-05-29 08:43:17] Algorithm 03/12 DBO run 20/30 OK: ACC=77.1732, MCC=0.5446, Sensitivity=74.7638, Specificity=79.9632, optTime=17.56s, evalTime=0.01s, totalTime=17.57s
[2026-05-29 08:43:34] Algorithm 03/12 DBO run 21/30 OK: ACC=77.5399, MCC=0.5547, Sensitivity=76.2895, Specificity=79.5534, optTime=17.11s, evalTime=0.01s, totalTime=17.12s
[2026-05-29 08:43:51] Algorithm 03/12 DBO run 22/30 OK: ACC=77.0384, MCC=0.5441, Sensitivity=73.9732, Specificity=80.5210, optTime=16.52s, evalTime=0.01s, totalTime=16.53s
[2026-05-29 08:44:06] Algorithm 03/12 DBO run 23/30 OK: ACC=75.6449, MCC=0.5192, Sensitivity=72.4774, Specificity=79.8514, optTime=14.76s, evalTime=0.01s, totalTime=14.78s
[2026-05-29 08:44:24] Algorithm 03/12 DBO run 24/30 OK: ACC=77.8928, MCC=0.5600, Sensitivity=76.6159, Specificity=79.8362, optTime=17.79s, evalTime=0.01s, totalTime=17.80s
[2026-05-29 08:44:45] Algorithm 03/12 DBO run 25/30 OK: ACC=68.6949, MCC=0.3834, Sensitivity=67.1617, Specificity=71.9906, optTime=21.06s, evalTime=0.01s, totalTime=21.07s
[2026-05-29 08:45:02] Algorithm 03/12 DBO run 26/30 OK: ACC=74.1428, MCC=0.4912, Sensitivity=71.8745, Specificity=78.0130, optTime=16.89s, evalTime=0.01s, totalTime=16.90s
[2026-05-29 08:45:16] Algorithm 03/12 DBO run 27/30 OK: ACC=76.2775, MCC=0.5332, Sensitivity=76.2510, Specificity=78.4041, optTime=14.18s, evalTime=0.01s, totalTime=14.19s
[2026-05-29 08:45:30] Algorithm 03/12 DBO run 28/30 OK: ACC=74.5065, MCC=0.4986, Sensitivity=71.7748, Specificity=78.8287, optTime=14.03s, evalTime=0.01s, totalTime=14.05s
[2026-05-29 08:45:44] Algorithm 03/12 DBO run 29/30 OK: ACC=73.7464, MCC=0.4788, Sensitivity=70.7707, Specificity=77.2268, optTime=14.30s, evalTime=0.01s, totalTime=14.31s
[2026-05-29 08:45:59] Algorithm 03/12 DBO run 30/30 OK: ACC=77.1109, MCC=0.5530, Sensitivity=75.8699, Specificity=80.7066, optTime=14.55s, evalTime=0.01s, totalTime=14.57s
[2026-05-29 08:45:59] Algorithm 03/12 finished: DBO. Checkpoint saved: D:\桌面\MSDBO\4.25\MSDBO-KELM分类\MSDBO-KELM分类\result_metrics_runtime_rankings_20260529_081806\bankreshape_checkpoint.mat
[2026-05-29 08:45:59] Algorithm 04/12 started: WOA
[2026-05-29 08:46:14] Algorithm 04/12 WOA run 01/30 OK: ACC=77.4957, MCC=0.5567, Sensitivity=76.2350, Specificity=79.9650, optTime=15.28s, evalTime=0.02s, totalTime=15.29s
[2026-05-29 08:46:29] Algorithm 04/12 WOA run 02/30 OK: ACC=76.5899, MCC=0.5414, Sensitivity=74.3178, Specificity=80.4584, optTime=15.15s, evalTime=0.01s, totalTime=15.16s
[2026-05-29 08:46:43] Algorithm 04/12 WOA run 03/30 OK: ACC=71.5884, MCC=0.4393, Sensitivity=69.2473, Specificity=75.1927, optTime=13.93s, evalTime=0.01s, totalTime=13.94s
[2026-05-29 08:46:58] Algorithm 04/12 WOA run 04/30 OK: ACC=76.7565, MCC=0.5470, Sensitivity=76.8400, Specificity=79.0566, optTime=14.31s, evalTime=0.01s, totalTime=14.32s
[2026-05-29 08:47:13] Algorithm 04/12 WOA run 05/30 OK: ACC=74.6246, MCC=0.4945, Sensitivity=72.6631, Specificity=77.1172, optTime=14.92s, evalTime=0.01s, totalTime=14.94s
[2026-05-29 08:47:27] Algorithm 04/12 WOA run 06/30 OK: ACC=75.4703, MCC=0.5167, Sensitivity=73.6437, Specificity=78.8943, optTime=14.25s, evalTime=0.01s, totalTime=14.26s
[2026-05-29 08:47:41] Algorithm 04/12 WOA run 07/30 OK: ACC=76.5812, MCC=0.5335, Sensitivity=74.6340, Specificity=78.8525, optTime=14.70s, evalTime=0.01s, totalTime=14.71s
