Dataset,Algorithm,Run,Status,ErrorMessage,BestScore,BestC,BestKernelParameter,ACC,MCC,Sensitivity,Specificity,OptimizationRuntimeSeconds,EvaluationRuntimeSeconds,TotalRuntimeSeconds
bankreshape,DBO,24,ok,,0.242142495295991,18.4712437558386,1,77.8927536231884,0.559954260052171,76.6158841158841,79.8362054612055,17.790929,0.0125968,17.8035286
bankreshape,DBO,25,ok,,0.249525980605008,9.94160636413027,20,68.6949275362319,0.383431483776099,67.1616716616717,71.9906270200388,21.0597382,0.0117266,21.0714678
bankreshape,DBO,26,ok,,0.224954769141699,20,1.92163667768115,74.1427536231884,0.491177225694454,71.8744588744589,78.0129804835687,16.8855811,0.0147543,16.9003386
bankreshape,DBO,27,ok,,0.233639093935446,17.6436417081516,1,76.277536231884,0.533248099260114,76.2509573759574,78.4040518305224,14.1778324,0.0126237,14.1904591
bankreshape,DBO,28,ok,,0.229202851353307,16.0236663857702,1,74.5065217391304,0.498607293658642,71.7747668997669,78.8286713286713,14.0324461,0.0149989,14.0474479
bankreshape,DBO,29,ok,,0.245880373425966,3.3233417763637,1.06762202672235,73.7463768115942,0.478819410205625,70.7707292707293,77.2267732267732,14.2964793,0.013561,14.3100471
bankreshape,DBO,30,ok,,0.241628672745694,20,1,77.1108695652174,0.553013818548492,75.8698523698524,80.706610383081,14.5530478,0.0139464,14.5669978
bankreshape,WOA,1,ok,,0.241572586481401,17.7970935811804,1,77.495652173913,0.556707572693894,76.2350198820787,79.965034965035,15.2783952,0.0152618,15.2936605
bankreshape,WOA,2,ok,,0.225649515125199,5.48244125969821,1,76.5898550724638,0.541350420676037,74.3178488178488,80.4584304584304,15.1523705,0.0113217,15.1636948
bankreshape,WOA,3,ok,,0.224962006079027,13.7215731114086,1.37026478750611,71.5884057971014,0.439325422749323,69.2473082473083,75.1926961926962,13.9309777,0.0120438,13.9430246
bankreshape,WOA,4,ok,,0.237639311043566,19.1283227295596,1.12417463963518,76.7565217391304,0.546998443465337,76.8400210900211,79.0565545565546,14.3093004,0.0120932,14.3213964
bankreshape,WOA,5,ok,,0.237720726588508,19.5349626984173,1,74.6246376811594,0.494531993168792,72.6630591630592,77.1172161172161,14.9249907,0.0122141,14.937208
bankreshape,WOA,6,ok,,0.250341945288754,4.25634600807025,1,75.4702898550725,0.516656697568958,73.6437451437452,78.8943278943279,14.249506,0.0125971,14.2621059
bankreshape,WOA,7,ok,,0.232848458532349,9.36239513477913,1,76.5811594202899,0.533498962098258,74.6340326340326,78.8524808524809,14.697092,0.0107162,14.7078111
bankreshape,WOA,8,ok,,0.220607179041829,18.7308281368496,1.13950403176159,75.8036231884058,0.524809350495665,73.7613636363636,79.3601953601953,14.8552565,0.0138832,14.8691433
bankreshape,WOA,9,ok,,0.216666666666667,19.4263206296594,1.03854018905032,74.9978260869565,0.510929370928563,72.5459671047906,79.3039183039183,16.4854336,0.0111846,16.4966214
bankreshape,WOA,10,ok,,0.221171660153423,19.4011130533536,1,76.0079710144928,0.526092039439461,74.2716499187087,78.7377622377622,16.3232888,0.0169475,16.3402396
bankreshape,WOA,11,ok,,0.25012483716891,20,1,77.0746376811594,0.551720627654519,74.3924825174825,81.4335664335664,15.9211222,0.0279841,15.9491095
bankreshape,WOA,12,ok,,0.236633376754957,17.9291679673911,1.56888977379524,77.4579710144928,0.559190887759105,75.6807212395448,80.9095904095904,16.7914297,0.0131157,16.8045527
bankreshape,WOA,13,ok,,0.228898899985526,19.8359486058111,1,75.8231884057971,0.524360494253925,73.8611388611389,79.1519591519591,17.0254791,0.0117498,17.0372322
bankreshape,WOA,14,ok,,0.220833333333333,20,1,78.7021739130435,0.582828480458498,76.9078421578422,82.2810522810523,14.9986005,0.0109573,15.0095609
bankreshape,WOA,15,ok,,0.203596757852077,20,1.45297215729127,75.7978260869565,0.52443409049226,74.1159951159951,79.1500721500721,14.2534824,0.0124454,14.2659317
bankreshape,WOA,16,ok,,0.254032783326096,20,1,76.1311594202898,0.535617081308614,74.3849483849484,80.0551948051948,15.0264863,0.0119948,15.038485
bankreshape,WOA,17,ok,,0.237451150673035,16.3425401521427,1.06534079035594,79.1702898550725,0.586862698890032,76.5633255633256,82.512654012654,14.3732615,0.0112107,14.3844853
bankreshape,WOA,18,ok,,0.245310464611377,16.8531902619514,1,75.7615942028985,0.526663368020635,75.1134421134421,78.8284215784216,14.4376774,0.0115111,14.4491916
bankreshape,WOA,19,ok,,0.233203068461427,18.6959512569559,1,72.8673913043478,0.461958915681789,70.7039904539905,76.0740093240093,13.9170269,0.0100885,13.9271192
bankreshape,WOA,20,ok,,0.229808944854538,8.71764571556755,1,77.1731884057971,0.544558581117755,74.7637917637918,79.9632034632035,13.9038844,0.0126457,13.9165335
bankreshape,WOA,21,ok,,0.25,19.0795262671449,1,77.9746376811594,0.56424949129423,76.481795981796,80.3716283716284,14.8850385,0.0118506,14.896892
bankreshape,WOA,22,ok,,0.249348675640469,17.8116703559149,1,76.6217391304348,0.536878486790147,73.478687978688,80.3391608391608,13.5408282,0.0135251,13.5543562
bankreshape,WOA,23,ok,,0.229302359241569,20,1.17009107885152,75.6449275362319,0.519246633749831,72.477355977356,79.8513708513708,13.6784345,0.0121866,13.6906235
