"Algorithm","Run","Seed","Status","OptimizationRuntimeSeconds","EvaluationRuntimeSeconds","TotalRuntimeSeconds"
"PO","1","20260530","ok","387.487444","0.0105393","387.4979867"
"PO","2","20260531","ok","381.407888","0.0108765","381.4187685"
"PO","3","20260532","ok","381.0798371","0.0102726","381.0901127"
"PO","4","20260533","ok","374.5976367","0.011184","374.6088266"
"PO","5","20260534","ok","376.1971046","0.0099129","376.2070203"
"PO","6","20260535","ok","375.9058289","0.0107532","375.916585"
"PO","7","20260536","ok","374.4802086","0.0109814","374.4911929"
"PO","8","20260537","ok","375.4401531","0.0118791","375.4520355"
"PO","9","20260538","ok","376.7870499","0.011333","376.7983858"
"PO","10","20260539","ok","428.3469502","0.0114094","428.3583635"
"PO","11","20260540","ok","408.271175","0.0115293","408.282712"
"PO","12","20260541","ok","408.2051032","0.0124964","408.2176032"
"PO","13","20260542","ok","413.6686087","0.0136334","413.6822456"
"PO","14","20260543","ok","406.2285431","0.0127622","406.241308"
"PO","15","20260544","ok","406.7407338","0.013558","406.7542946"
"PO","16","20260545","ok","411.5365834","0.0282207","411.5648072"
"PO","17","20260546","ok","409.6380309","0.0138688","409.6519032"
"PO","18","20260547","ok","403.6374634","0.0125332","403.6500047"
"PO","19","20260548","ok","388.138033","0.0116264","388.1496622"
"PO","20","20260549","ok","386.7730151","0.0113483","386.7843664"
"PO","21","20260550","ok","381.9488473","0.0107744","381.9596244"
"PO","22","20260551","ok","386.8820124","0.010686","386.8927011"
"PO","23","20260552","ok","384.6235481","0.0105835","384.6341346"
"PO","24","20260553","ok","387.2433494","0.022404","387.2657562"
"PO","25","20260554","ok","373.3184786","0.0112016","373.3296861"
"PO","26","20260555","ok","384.9798568","0.0102027","384.9900624"
"PO","27","20260556","ok","387.1152824","0.021593","387.1368785"
"PO","28","20260557","ok","386.2062902","0.0114462","386.2177493"
"PO","29","20260558","ok","388.8307452","0.0113906","388.8421384"
"PO","30","20260559","ok","386.8890593","0.0101827","386.899245"
"NRBO","1","20260530","ok","13.712343","0.0110181","13.7233642"
"NRBO","2","20260531","ok","13.2447061","0.0115435","13.2562528"
"NRBO","3","20260532","ok","13.0798473","0.0127341","13.0925842"
"NRBO","4","20260533","ok","13.2125986","0.0123263","13.2249274"
"NRBO","5","20260534","ok","13.2863301","0.0119015","13.2982355"
"NRBO","6","20260535","ok","13.1396304","0.0110794","13.1507129"
"NRBO","7","20260536","ok","13.3248721","0.0127416","13.3376182"
"NRBO","8","20260537","ok","13.197777","0.0225747","13.220355"
"NRBO","9","20260538","ok","13.1901563","0.0113482","13.2015076"
"NRBO","10","20260539","ok","13.3612149","0.0223626","13.3835807"
"NRBO","11","20260540","ok","13.3266428","0.0108527","13.3374985"
"NRBO","12","20260541","ok","13.1561857","0.0105253","13.166715"
"NRBO","13","20260542","ok","13.2255241","0.0215604","13.2470871"
"NRBO","14","20260543","ok","13.1952401","0.011328","13.2065711"
"NRBO","15","20260544","ok","13.0377653","0.0120487","13.0498171"
"NRBO","16","20260545","ok","13.2197348","0.0216479","13.2413864"
"NRBO","17","20260546","ok","13.2152178","0.0110047","13.2262254"
"NRBO","18","20260547","ok","13.2350858","0.0101911","13.2452799"
"NRBO","19","20260548","ok","13.3378497","0.0115488","13.3494018"
"NRBO","20","20260549","ok","13.2299411","0.0107811","13.240725"
"NRBO","21","20260550","ok","13.3079521","0.0121737","13.3201286"
"NRBO","22","20260551","ok","13.1641213","0.0113542","13.1754781"
"NRBO","23","20260552","ok","13.2026692","0.0111695","13.2138418"
"NRBO","24","20260553","ok","13.2334056","0.0110538","13.2444622"
"NRBO","25","20260554","ok","12.9020019","0.0098621","12.9118673"
"NRBO","26","20260555","ok","13.0192787","0.0112033","13.0304845"
"NRBO","27","20260556","ok","13.4101384","0.0220305","13.4321713"
"NRBO","28","20260557","ok","13.1353476","0.0104747","13.1458255"
"NRBO","29","20260558","ok","13.2419707","0.0116837","13.2536573"
"NRBO","30","20260559","ok","13.1609786","0.0114715","13.172453"
"CPO","1","20260530","ok","0.8725887","0.0106929","0.8832845"
"CPO","2","20260531","ok","0.692421","0.0108858","0.7033097"
"CPO","3","20260532","ok","0.6733051","0.0104655","0.6837734"
"CPO","4","20260533","ok","0.659888","0.0121127","0.6720031"
